DATE,sp500,daily_return
7/29/2015,2108.57,0.007318763
7/30/2015,2108.63,2.85E-05
7/31/2015,2103.84,-0.002271617
8/3/2015,2098.04,-0.002756864
8/4/2015,2093.32,-0.002249719
8/5/2015,2099.84,0.00311467
8/6/2015,2083.56,-0.007752972
8/7/2015,2077.57,-0.002874887
8/10/2015,2104.18,0.012808233
8/11/2015,2084.07,-0.009557167
8/12/2015,2086.05,0.000950064
8/13/2015,2083.39,-0.001275137
8/14/2015,2091.54,0.003911894
8/17/2015,2102.44,0.005211471
8/18/2015,2096.92,-0.002625521
8/19/2015,2079.61,-0.008254964
8/20/2015,2035.73,-0.02110011
8/21/2015,1970.89,-0.031850982
8/24/2015,1893.21,-0.039413666
8/25/2015,1867.61,-0.013522008
8/26/2015,1940.51,0.039033845
8/27/2015,1987.66,0.024297736
8/28/2015,1988.87,0.000608756
8/31/2015,1972.18,-0.0083917
9/1/2015,1913.85,-0.029576408
9/2/2015,1948.86,0.01829297
9/3/2015,1951.13,0.001164784
9/4/2015,1921.22,-0.015329578
9/9/2015,1942.04,-0.013897563
9/10/2015,1952.29,0.005277955
9/11/2015,1961.05,0.004487038
9/14/2015,1953.03,-0.004089646
9/15/2015,1978.09,0.012831344
9/16/2015,1995.31,0.008705367
9/17/2015,1990.2,-0.002561006
9/18/2015,1958.03,-0.016164205
9/21/2015,1966.97,0.004565814
9/22/2015,1942.74,-0.012318439
9/23/2015,1938.76,-0.002048653
9/24/2015,1932.24,-0.003362974
9/25/2015,1931.34,-0.000465781
9/28/2015,1881.77,-0.025666118
9/29/2015,1884.09,0.001232882
9/30/2015,1920.03,0.019075522
10/1/2015,1923.82,0.001973927
10/2/2015,1951.36,0.014315269
10/5/2015,1987.05,0.018289808
10/6/2015,1979.92,-0.003588234
10/7/2015,1995.83,0.008035678
10/8/2015,2013.43,0.008818386
10/9/2015,2014.89,0.000725131
10/12/2015,2017.46,0.001275504
10/13/2015,2003.69,-0.006825414
10/14/2015,1994.24,-0.004716298
10/15/2015,2023.86,0.014852776
10/16/2015,2033.11,0.004570474
10/19/2015,2033.66,0.000270522
10/20/2015,2030.77,-0.001421083
10/21/2015,2018.94,-0.005825377
10/22/2015,2052.51,0.016627537
10/23/2015,2075.15,0.011030397
10/26/2015,2071.18,-0.001913115
10/27/2015,2065.89,-0.0025541
10/28/2015,2090.35,0.011839933
10/29/2015,2089.41,-0.000449685
10/30/2015,2079.36,-0.00480997
11/2/2015,2104.05,0.011873846
11/3/2015,2109.79,0.002728072
11/4/2015,2102.31,-0.003545377
11/5/2015,2099.93,-0.001132088
11/6/2015,2099.2,-0.000347631
11/9/2015,2078.58,-0.00982279
11/10/2015,2081.72,0.001510647
11/11/2015,2075,-0.0032281
11/12/2015,2045.97,-0.013990361
11/13/2015,2023.04,-0.011207398
11/16/2015,2053.19,0.014903314
11/17/2015,2050.44,-0.001339379
11/18/2015,2083.58,0.016162385
11/19/2015,2081.24,-0.001123067
11/20/2015,2089.17,0.003810229
11/23/2015,2086.59,-0.00123494
11/24/2015,2089.14,0.00122209
11/25/2015,2088.87,-0.00012924
11/30/2015,2080.41,-0.004640904
12/1/2015,2102.63,0.010680587
12/2/2015,2079.51,-0.010995753
12/3/2015,2049.62,-0.014373578
12/4/2015,2091.69,0.020525756
12/7/2015,2077.07,-0.006989563
12/8/2015,2063.59,-0.006489911
12/9/2015,2047.62,-0.00773894
12/10/2015,2052.23,0.002251394
12/11/2015,2012.37,-0.019422774
12/14/2015,2021.94,0.004755587
12/15/2015,2043.41,0.010618515
12/16/2015,2073.07,0.014514953
12/17/2015,2041.89,-0.015040495
12/18/2015,2005.55,-0.017797237
12/21/2015,2021.15,0.007778415
12/22/2015,2038.97,0.008816763
12/23/2015,2064.29,0.012418035
12/24/2015,2060.99,-0.001598613
12/29/2015,2078.36,0.010629711
12/30/2015,2063.36,-0.007217229
12/31/2015,2043.94,-0.009411833
1/5/2016,2016.71,0.002012262
1/6/2016,1990.26,-0.013115421
1/7/2016,1943.09,-0.023700421
1/8/2016,1922.03,-0.010838407
1/11/2016,1923.67,0.000853265
1/12/2016,1938.68,0.007802794
1/13/2016,1890.28,-0.02496544
1/14/2016,1921.84,0.016695939
1/15/2016,1880.33,-0.021599093
1/20/2016,1859.33,-0.011693855
1/21/2016,1868.99,0.00519542
1/22/2016,1906.9,0.020283683
1/25/2016,1877.08,-0.015637946
1/26/2016,1903.63,0.014144309
1/27/2016,1882.95,-0.010863456
1/28/2016,1893.36,0.005528559
1/29/2016,1940.24,0.024760215
2/1/2016,1939.38,-0.000443244
2/2/2016,1903.03,-0.018743103
2/3/2016,1912.53,0.004992039
2/4/2016,1915.45,0.001526773
2/5/2016,1880.05,-0.018481297
2/8/2016,1853.44,-0.014153879
2/9/2016,1852.21,-0.000663631
2/10/2016,1851.86,-0.000188963
